item_id,I,C,positionID_cvr_smooth
696490723789804,14,1,0.02440643510911221
1097631460775571,59,1,0.01735145957407182
1637165183538885,66,0,0.010457627721659483
3341342041473146,2,0,0.01724031991755523
4055398786868336,1,0,0.017416825299832593
4255654217639344,7,0,0.016408867191112154
6536469184064787,1,0,0.017416825299832593
7683654146703952,1,0,0.017416825299832593
9393908124420502,49,2,0.02540711389933933
10102212873966760,39,2,0.027279746856385196
11072115662022791,19,0,0.014706642034101073
11575232304866102,53,0,0.01136591804396071
12249482967749017,1,0,0.017416825299832593
13831602287370737,5,0,0.016731635303477918
13847980288352425,13,1,0.024628967477857894
15553563904368131,1,0,0.017416825299832593
16284947754376399,15,0,0.015233403623275842
17237758063064615,1,0,0.017416825299832593
17805442322617113,1,0,0.017416825299832593
18506393802199063,4,1,0.02683069335401235
18564233619461048,29,0,0.01353643808407294
18802576669382029,9,0,0.016098316363845133
19438178474842228,18,0,0.014834887320138872
19560100342134985,13,1,0.024628967477857894
21345778757081607,11,0,0.015799302040565295
22990172606991950,73,0,0.010026196980406
24222185012217158,1,0,0.017416825299832593
24810209703656444,60,0,0.010858109041447553
28270346777867139,2,0,0.01724031991755523
28575156070875994,1,0,0.017416825299832593
28890266558981536,240,5,0.01990402080047194
30840356308769988,1,0,0.017416825299832593
30954724232577394,61,0,0.010789245569726455
31048424066379401,12,0,0.015653922027034764
31081394009177845,1,0,0.017416825299832593
31504766410207516,2,0,0.01724031991755523
32373614407243324,1,0,0.017416825299832593
33761665631572075,6,0,0.016568679465841552
33789903622142435,2,0,0.01724031991755523
33863647315162993,101,3,0.023782384012854978
33983744321396205,4,0,0.016897828377778944
34115490055540179,1,0,0.017416825299832593
35974039100716541,1,0,0.017416825299832593
36128865930036962,86,0,0.00931268978300649
36187676455488022,4,1,0.02683069335401235
37935316566004832,3,0,0.01706735612163645
43489705811310323,10,0,0.015947407693722777
44464959515245158,18,0,0.014834887320138872
44513362314949096,12,0,0.015653922027034764
44995943606603897,34,1,0.020671019874098594
45085584403214606,1,0,0.017416825299832593
45739666976932640,6,0,0.016568679465841552
46335550574683368,18,0,0.014834887320138872
46913422739079690,2,0,0.01724031991755523
47232536977255645,1,0,0.017416825299832593
47930330199756422,1,0,0.017416825299832593
48000759877521379,8,0,0.01625210838510549
48296089068923215,2,0,0.01724031991755523
48386898459168178,8,0,0.01625210838510549
48920169847825796,11,0,0.015799302040565295
49074779565223144,1,0,0.017416825299832593
49114355680708769,3,0,0.01706735612163645
49373250331170217,571,13,0.022018473547402793
49624218666886893,80,0,0.009628953305946673
50379584680850789,50,0,0.011598388115493963
50383040486697235,1,0,0.017416825299832593
50432964744352344,92,3,0.0249168239171678
50653807939753940,2,0,0.01724031991755523
51600763759942867,129,0,0.00753826157735478
53141466671068390,7,0,0.016408867191112154
53412481269652986,19,0,0.014706642034101073
53758941896169289,10,0,0.015947407693722777
54819337830910368,4,0,0.016897828377778944
58279349208282635,1,0,0.017416825299832593
60128048339807666,224,0,0.005305057033244105
61914655744894283,1091,20,0.018271991623915754
61982832909364119,12,0,0.015653922027034764
62838296027366859,629,11,0.017502584951972565
63071593558870203,3,0,0.01706735612163645
63625877143279197,371,2,0.0079140361316135
67672442778151278,4,0,0.016897828377778944
67908765533075172,27,0,0.013755339897895192
68293607586287754,18,1,0.02355511629833995
71002967229781812,33,0,0.013118891281426412
71505253859779432,1,0,0.017416825299832593
72722265563110005,1,0,0.017416825299832593
72825662498406630,2,0,0.01724031991755523
73008954676854416,1,0,0.017416825299832593
74409214629986365,37,0,0.012726333087240579
74776687342955089,9,1,0.025561212968774435
77486408236885887,136,1,0.011609298666180544
77753520832358029,19,0,0.014706642034101073
78835998805444145,1,0,0.017416825299832593
81140535715844692,11,0,0.015799302040565295
82179554148759925,5,0,0.016731635303477918
82240751079441221,26,0,0.01386746739208512
82808262578030459,3,0,0.01706735612163645
85210208033266053,1,0,0.017416825299832593
85791493116673035,1,0,0.017416825299832593
86163586190489549,10,0,0.015947407693722777
86868497586085590,89,2,0.0199336807683663
88530996152045020,6,0,0.016568679465841552
89037925563587170,1,0,0.017416825299832593
90652556660047174,1,0,0.017416825299832593
91070532285486248,123,1,0.012296314816034177
91298943091938404,1,0,0.017416825299832593
91447656648908805,6,0,0.016568679465841552
92125341185083707,9,0,0.016098316363845133
93380979096233532,1,0,0.017416825299832593
94265272619694711,3,0,0.01706735612163645
95212122141350207,11,0,0.015799302040565295
97394290886149718,3,0,0.01706735612163645
99072074675970602,3,0,0.01706735612163645
99132268575359203,27,0,0.013755339897895192
99767494672550389,1,0,0.017416825299832593
100826730457066984,1,0,0.017416825299832593
102639201462990818,20,0,0.014580595064929642
103688965110222436,5,0,0.016731635303477918
103912095306262948,1,0,0.017416825299832593
103935436865046054,6,0,0.016568679465841552
104481659614326000,1,0,0.017416825299832593
105221713137654786,298,8,0.024580178758343653
106990404853189566,93,3,0.02478545864873763
107208337955406638,663,9,0.014086538806502505
107416371975425984,1,0,0.017416825299832593
109981118038066361,4,0,0.016897828377778944
110507163552119150,28,0,0.013645011107466796
112092658311533864,15,0,0.015233403623275842
112368982413213027,84,4,0.031554868461244646
113143477100688146,20,0,0.014580595064929642
113373296672209255,13,0,0.015511193097829709
114567950472264968,5,0,0.016731635303477918
115135900738073951,3,0,0.01706735612163645
116051310177494658,62,1,0.017023404823977354
